canonical_document_id,sha256,company_name,company_slug,fiscal_year,technical_document_family,official_doc_type,official_doc_type_label,doc_type_stratum,doc_subtype,period_type,regulatory_status,parent_doc_id,status,taxonomy_notes,source_document_path,taxonomy_document_path,taxonomy_manifest_path,taxonomy_references_path,error_type,error_message
canonical_e7a6ce865a8c33cd7e9741e3,836f1acbdd9a7bc14a8dcbdf0a775b9525529a65a63a8fe29f0ba8c78d741c88,LVMH,lvmh,2024,corporate_policy,,,,corporate_policy_needs_review,perpetual,policy,,needs_review,"[""corporate_policy_needs_review""]",C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\corporate-policy\canonical-e7a6ce865a8c33cd7e9741e3\document.pdf,,,,,
canonical_8ea72b68b9db46e754f01e5a,86ba4dc8c87ced86f4197ad81e5542e07e916659fa80280d57ff3a82e1c9697f,LVMH,lvmh,2024,agm_document,16_agm_minutes_resolutions,AGM minutes / resolutions,governance,agm_document,annual_or_ad_hoc,regulated_or_official,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\agm-document\canonical-8ea72b68b9db46e754f01e5a\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-8ea72b68b9db46e754f01e5a\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-8ea72b68b9db46e754f01e5a\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-8ea72b68b9db46e754f01e5a\references.json,,
canonical_edebdac1800646dd948fc95b,87b6b16a52c48e3f3148f3c47f67776984ee50e1eec10395663ff620381ac108,LVMH,lvmh,2024,sbti_commitment,18_sbti_validation,SBTi validation,external_validation,sbti_commitment,ad_hoc,voluntary,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\sbti-commitment\canonical-edebdac1800646dd948fc95b\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-edebdac1800646dd948fc95b\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-edebdac1800646dd948fc95b\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-edebdac1800646dd948fc95b\references.json,,
canonical_7976d17b143f790b154d4999,887f8e0927b65f32a7c30eb133ab14bbaaf32ba70a002f5e4daace2cac34058f,LVMH,lvmh,2024,corporate_policy,,,,corporate_policy_needs_review,perpetual,policy,,needs_review,"[""corporate_policy_needs_review""]",C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\corporate-policy\canonical-7976d17b143f790b154d4999\document.pdf,,,,,
canonical_69806d3f767774dfaff97249,88c05720bf7d3f9e3ae2e4fc69c45687da3d7cc88d002f338f538003c4e8e98a,Schneider Electric,schneider-electric,2024,annual_report,01_urd_annual_report,URD / annual report,core_reporting,annual_report,annual,regulated_or_standard_reporting,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\schneider-electric\2024\annual-report\canonical-69806d3f767774dfaff97249\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\01_urd_annual_report\canonical-69806d3f767774dfaff97249\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\01_urd_annual_report\canonical-69806d3f767774dfaff97249\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\01_urd_annual_report\canonical-69806d3f767774dfaff97249\references.json,,
canonical_9f7f59c442b8cfd52b361942,88cfbc49059818f657e92baf606444b702c639af066632748ac98acb3e4d1df5,LVMH,lvmh,2024,agm_document,16_agm_minutes_resolutions,AGM minutes / resolutions,governance,agm_document,annual_or_ad_hoc,regulated_or_official,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\agm-document\canonical-9f7f59c442b8cfd52b361942\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-9f7f59c442b8cfd52b361942\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-9f7f59c442b8cfd52b361942\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-9f7f59c442b8cfd52b361942\references.json,,
canonical_9de29cb0ed2693a4ff8e134b,89d162c4a20b0b532fd6c15021ed8bf6cf65551b34fa5c5a0b757b0fa03ce25d,Schneider Electric,schneider-electric,2024,annual_report,01_urd_annual_report,URD / annual report,core_reporting,annual_report,annual,regulated_or_standard_reporting,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\schneider-electric\2024\annual-report\canonical-9de29cb0ed2693a4ff8e134b\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\01_urd_annual_report\canonical-9de29cb0ed2693a4ff8e134b\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\01_urd_annual_report\canonical-9de29cb0ed2693a4ff8e134b\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\01_urd_annual_report\canonical-9de29cb0ed2693a4ff8e134b\references.json,,
canonical_9de29cb0ed2693a4ff8e134b,89d162c4a20b0b532fd6c15021ed8bf6cf65551b34fa5c5a0b757b0fa03ce25d,Schneider Electric,schneider-electric,2024,sustainability_report,02_sustainability_statement_csrd_esrs,Sustainability statement / CSRD / ESRS,core_sustainability,sustainability_report,annual,regulated_or_emerging_regulated,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\schneider-electric\2024\sustainability-report\canonical-9de29cb0ed2693a4ff8e134b\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\02_sustainability_statement_csrd_esrs\canonical-9de29cb0ed2693a4ff8e134b\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\02_sustainability_statement_csrd_esrs\canonical-9de29cb0ed2693a4ff8e134b\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\02_sustainability_statement_csrd_esrs\canonical-9de29cb0ed2693a4ff8e134b\references.json,,
canonical_5325b0e013b268ae5be84d3d,8a844c017d076a72de12dd969533dd5a5331eff1ca98ffad8b439711c578b540,LVMH,lvmh,2024,sbti_commitment,18_sbti_validation,SBTi validation,external_validation,sbti_commitment,ad_hoc,voluntary,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\sbti-commitment\canonical-5325b0e013b268ae5be84d3d\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-5325b0e013b268ae5be84d3d\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-5325b0e013b268ae5be84d3d\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-5325b0e013b268ae5be84d3d\references.json,,
canonical_1fbae6247ada5f1935475870,8b498b7ab6bf4b9ae318c9e2979c57eee234c3ff2d22f76b088d7040eece03eb,TotalEnergies,totalenergies,2024,half_year_report,05_half_year_financial_report,Half-year financial report,financial_reporting,half_year_report,half_year,regulated,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\totalenergies\2024\half-year-report\canonical-1fbae6247ada5f1935475870\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\totalenergies\2024\05_half_year_financial_report\canonical-1fbae6247ada5f1935475870\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\totalenergies\2024\05_half_year_financial_report\canonical-1fbae6247ada5f1935475870\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\totalenergies\2024\05_half_year_financial_report\canonical-1fbae6247ada5f1935475870\references.json,,
